timestamp,x,y,z
1.782570769707019806e+09,2.186303630981342814e-03,-7.776152223979052036e-03,9.539472366051668373e-03
1.782570769813567638e+09,2.688809065143030631e-03,1.300738994612551241e-03,1.811895568933476197e-02
1.782570769914387465e+09,2.581442081985094693e-03,6.209573160345858468e-03,2.961425122552072825e-02
1.782570770009878874e+09,4.312259247341079620e-03,1.248003348687105191e-02,1.894018924174047797e-02
1.782570770107560873e+09,1.487185941125040989e-03,3.063867784269848349e-04,1.920718480817328044e-02
1.782570770209898233e+09,3.580102711733222642e-04,-5.344341484361986132e-03,3.029971528622503810e-02
1.782570770310431004e+09,1.759617404705560943e-03,3.559326793846256769e-03,3.896055754520077324e-02
1.782570770414556265e+09,2.546668552068964090e-03,1.304824622057653913e-02,4.705938206512060712e-02
1.782570770517666101e+09,3.657438049110140702e-03,2.198306911539031974e-02,5.573031805627833013e-02
1.782570770620840311e+09,4.861784713940735594e-03,3.274513261356101768e-02,4.948711868638362710e-02
1.782570770721931219e+09,6.110470804948787971e-03,4.444409151121608142e-02,4.526513529500217348e-02
1.782570770824509382e+09,8.500713358243571979e-03,5.422788295363599465e-02,5.266879422472400124e-02
1.782570770927045107e+09,9.116874872835056473e-03,6.458380789624332263e-02,5.964196879381518379e-02
1.782570771030613899e+09,7.791067550510710413e-03,7.482589777434758838e-02,6.668411547454439203e-02
1.782570771135249853e+09,8.459034461697798740e-03,6.470601950311634376e-02,5.937714045193612233e-02
1.782570771238471508e+09,7.925061926951514416e-03,5.593477377929303301e-02,5.048725171334957768e-02
1.782570771324365139e+09,1.058037516644880910e-02,6.785363318951655176e-02,5.315934863514661102e-02
1.782570771417779684e+09,2.295842056753589350e-02,6.661085637210290011e-02,5.193889878745689553e-02
1.782570771520392656e+09,1.681885293562792802e-02,7.708926016059292063e-02,4.897937799202635445e-02
1.782570771604290962e+09,2.633629234080682446e-02,8.155008431076493647e-02,4.221406978988283265e-02
1.782570771700694561e+09,3.232628615791137416e-02,8.235511923327173966e-02,5.315581977992524937e-02
1.782570771774128914e+09,3.478881460564969830e-02,9.460893950248672191e-02,5.298307009438060766e-02
1.782570771867232084e+09,2.472452174591963092e-02,1.000747549851852825e-01,5.799154993787394158e-02
1.782570771949374914e+09,1.931371252348275044e-02,9.809637696136516705e-02,6.908475344061641710e-02
1.782570772032611609e+09,2.212890018269920642e-02,1.102721143705266277e-01,6.880882412622245370e-02
1.782570772124057531e+09,2.067230381179429449e-02,1.225649761226855067e-01,7.054487624369361332e-02
1.782570772211195707e+09,1.405249074720793349e-02,1.273178742783908635e-01,8.002316902833707390e-02
1.782570772301674604e+09,1.149234823688137161e-02,1.395121068575804202e-01,7.902498961988820014e-02
1.782570772414232969e+09,2.398661998924080802e-02,1.391422791094831246e-01,7.910499471303875096e-02
1.782570772485728502e+09,2.519847052380621080e-02,1.515719747773386361e-01,7.857199951008858596e-02
1.782570772603390217e+09,2.492663266496593366e-02,1.640537116628784375e-01,7.919034286022400004e-02
1.782570772730273485e+09,2.205782151881948219e-02,1.749808412191961315e-01,7.384078565731511112e-02
1.782570772859481573e+09,2.042295003579796056e-02,1.625944013235064711e-01,7.344924773517882977e-02
1.782570772859486818e+09,2.152862677695708063e-02,1.750452799249422320e-01,7.339356114460583724e-02
1.782570772975837469e+09,2.579535312562282467e-02,1.749723189812972535e-01,6.164453042006078076e-02
1.782570773092537403e+09,2.693006307213442752e-02,1.873525950438495735e-01,6.294499108931697617e-02
1.782570773244310617e+09,1.984392267472450191e-02,1.858468198603264177e-01,7.313171064788344389e-02
1.782570773244316339e+09,1.786971549512256230e-02,1.981027173707030631e-01,7.166696417591225665e-02
1.782570773463655949e+09,1.687455338974247140e-02,1.917222499635659327e-01,6.096419406483932768e-02
1.782570773463659286e+09,2.917556899265704579e-02,1.927742545072841929e-01,6.292079866895529394e-02
1.782570773618081570e+09,3.209227144498177225e-02,1.830165931569200377e-01,5.567297887427134773e-02
1.782570773618085623e+09,3.239174726036801732e-02,1.942414215715852488e-01,6.116511336801085108e-02
1.782570773752302408e+09,4.024570065623647025e-02,1.925866705081927810e-01,5.158246159651630469e-02
1.782570773834842205e+09,3.369757076077472407e-02,2.026619496772414930e-01,5.502640476356957661e-02
1.782570773928479671e+09,3.580947613275399510e-02,2.149684379143787238e-01,5.560967397157626224e-02
1.782570774022587061e+09,4.118418961755500318e-02,2.259052749612857069e-01,5.282614197684346730e-02
1.782570774022593260e+09,3.460657402093809953e-02,2.365197909432479040e-01,5.226309354925413181e-02
1.782570774101908207e+09,3.573703228030351148e-02,2.489555170956192498e-01,5.283298756313745126e-02
1.782570774225173235e+09,3.847120281426506805e-02,2.496220770439660508e-01,4.065390675519155173e-02
1.782570774270642757e+09,2.604104623490830286e-02,2.490494838519723142e-01,4.184274839694016729e-02
1.782570774358380795e+09,3.663328672270611819e-02,2.555690310894792039e-01,4.308771637507168711e-02
1.782570774433585882e+09,4.335972816440882005e-02,2.655266377430185454e-01,4.653025254259895299e-02
1.782570774529340506e+09,3.335876663350594712e-02,2.688661231199923618e-01,5.324431285468871067e-02
1.782570774609988689e+09,2.133680036683343467e-02,2.722882062594685904e-01,5.335235946268770957e-02
1.782570774695438147e+09,2.561572332939138566e-02,2.840238473565075972e-01,5.288808979753214373e-02
1.782570774784348488e+09,2.723721030620613465e-02,2.893721188665429045e-01,4.170699987575059164e-02
1.782570774873092890e+09,2.081634706270268920e-02,2.798894752140317355e-01,3.669681179867043119e-02
1.782570774963566542e+09,1.238955527255045964e-02,2.890791994089809136e-01,3.758458955587573591e-02
1.782570775056066036e+09,1.493109154886200843e-02,3.009849403976181947e-01,3.474840816751667560e-02
1.782570775152525663e+09,1.791810386653392220e-02,3.128953279417083788e-01,3.240951399213004569e-02
1.782570775227317810e+09,1.677968298222094062e-02,3.161908199863521785e-01,2.040560920769222270e-02
1.782570775312295914e+09,1.566949958428193179e-02,3.040470936702835969e-01,2.315286310629069075e-02
1.782570775398831129e+09,2.298346929299558902e-02,3.136665340791860435e-01,1.995564348299388308e-02
