x,y,z
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
1.532006069001820459e+00,-5.633154047545368276e-03,0.000000000000000000e+00
