timestamp,preprocessing_time,detection_time,matching_time,pose_estimation_time,fps,detected_keypoints,raw_matches,good_matches,inliners,match_ratio,inliner_ratio,cpu_usage,memory_usage,cpu_temperature,tracking_ok
1.783179867850865602e+09,8.578682000006665476e-03,3.180133700152509846e-02,2.071881799929542467e-02,2.846971500002837274e-02,1.116463287237743884e+01,1.180000000000000000e+03,1.162000000000000000e+03,6.530000000000000000e+02,6.290000000000000000e+02,5.619621342512908235e-01,9.632465543644717076e-01,4.600000000000000000e+01,3.389999999999999858e+01,5.639999999999999858e+01,1.000000000000000000e+00
1.783179867974205971e+09,6.896352999319788069e-03,3.162817299926246051e-02,1.746347200059972238e-02,3.253173499979311600e-02,1.129691613520319038e+01,1.172000000000000000e+03,1.180000000000000000e+03,7.520000000000000000e+02,7.280000000000000000e+02,6.372881355932202840e-01,9.680851063829787329e-01,4.039999999999999858e+01,3.389999999999999858e+01,5.639999999999999858e+01,1.000000000000000000e+00
1.783179868098294258e+09,1.313810299870965537e-02,2.889130200128420256e-02,1.825279500008036848e-02,3.183009599888464436e-02,1.085631390635733240e+01,1.177000000000000000e+03,1.172000000000000000e+03,7.320000000000000000e+02,7.060000000000000000e+02,6.245733788395904096e-01,9.644808743169398513e-01,4.129999999999999716e+01,3.400000000000000000e+01,5.689999999999999858e+01,1.000000000000000000e+00
1.783179868217148066e+09,8.253705000242916867e-03,3.069927800061122980e-02,1.916376399822183885e-02,2.963340300084382761e-02,1.139599191569374881e+01,1.167000000000000000e+03,1.177000000000000000e+03,7.260000000000000000e+02,7.030000000000000000e+02,6.168224299065420135e-01,9.683195592286500952e-01,4.260000000000000142e+01,3.400000000000000000e+01,5.639999999999999858e+01,1.000000000000000000e+00
1.783179868338214397e+09,6.873685999380541034e-03,3.131512200161523651e-02,1.771952399940346368e-02,3.150110000024142209e-02,1.144041297502849019e+01,1.166000000000000000e+03,1.167000000000000000e+03,7.390000000000000000e+02,7.150000000000000000e+02,6.332476435304198459e-01,9.675236806495264297e-01,4.170000000000000284e+01,3.400000000000000000e+01,5.639999999999999858e+01,1.000000000000000000e+00
1.783179868462214231e+09,1.080689300033554900e-02,3.161483999974734616e-02,1.826529500067408662e-02,3.242956899885029998e-02,1.073922407199027518e+01,1.165000000000000000e+03,1.166000000000000000e+03,7.600000000000000000e+02,7.270000000000000000e+02,6.518010291595197625e-01,9.565789473684210842e-01,4.400000000000000000e+01,3.400000000000000000e+01,5.689999999999999858e+01,1.000000000000000000e+00
1.783179868580685854e+09,7.875821000197902322e-03,3.048444800151628442e-02,1.905709899983776268e-02,3.145735999896714929e-02,1.125179252300113042e+01,1.168000000000000000e+03,1.165000000000000000e+03,7.370000000000000000e+02,7.150000000000000000e+02,6.326180257510729543e-01,9.701492537313433084e-01,4.260000000000000142e+01,3.400000000000000000e+01,5.689999999999999858e+01,1.000000000000000000e+00
1.783179868699339628e+09,6.863094000436831266e-03,2.850776999912341125e-02,1.872604799973487388e-02,3.041361500072525814e-02,1.183284539214574949e+01,1.170000000000000000e+03,1.168000000000000000e+03,7.150000000000000000e+02,6.930000000000000000e+02,6.121575342465753744e-01,9.692307692307692291e-01,4.260000000000000142e+01,3.400000000000000000e+01,5.600000000000000000e+01,1.000000000000000000e+00
1.783179868820215702e+09,7.535992999692098238e-03,3.119762300048023462e-02,1.885069399941130541e-02,3.249042099923826754e-02,1.110189271631662322e+01,1.170000000000000000e+03,1.170000000000000000e+03,7.670000000000000000e+02,7.310000000000000000e+02,6.555555555555555580e-01,9.530638852672751460e-01,4.350000000000000000e+01,3.400000000000000000e+01,5.689999999999999858e+01,1.000000000000000000e+00
1.783179868945305586e+09,7.168553000155952759e-03,2.969534600015322212e-02,1.990542099883896299e-02,3.464235600040410645e-02,1.093952155526497805e+01,1.176000000000000000e+03,1.170000000000000000e+03,7.530000000000000000e+02,7.270000000000000000e+02,6.435897435897436347e-01,9.654714475431607212e-01,3.960000000000000142e+01,3.400000000000000000e+01,5.739999999999999858e+01,1.000000000000000000e+00
1.783179869071468830e+09,1.039380699876346625e-02,3.150000800087582320e-02,1.793996500055072829e-02,3.483861199856619351e-02,1.056274145912715312e+01,1.171000000000000000e+03,1.176000000000000000e+03,7.580000000000000000e+02,7.350000000000000000e+02,6.445578231292516946e-01,9.696569920844326784e-01,3.879999999999999716e+01,3.400000000000000000e+01,5.689999999999999858e+01,1.000000000000000000e+00
1.783179869198615551e+09,9.325246999651426449e-03,2.861049000057391822e-02,1.915041299980657641e-02,3.310176400009368081e-02,1.108796018941747974e+01,1.170000000000000000e+03,1.171000000000000000e+03,7.460000000000000000e+02,7.270000000000000000e+02,6.370623398804440285e-01,9.745308310991956935e-01,4.310000000000000142e+01,3.400000000000000000e+01,5.689999999999999858e+01,1.000000000000000000e+00
1.783179869318333149e+09,7.376179999482701533e-03,2.853428799971879926e-02,1.953855499959900044e-02,3.245036599946615752e-02,1.137664335777942171e+01,1.167000000000000000e+03,1.170000000000000000e+03,7.610000000000000000e+02,7.420000000000000000e+02,6.504273504273504480e-01,9.750328515111694738e-01,4.370000000000000284e+01,3.400000000000000000e+01,5.639999999999999858e+01,1.000000000000000000e+00
