timestamp,x,y,z
1.783178839887870789e+09,1.498144325542602939e-03,7.093269997107113159e-03,1.018288192644815904e-02
1.783178839919523716e+09,7.766291888730745500e-04,1.921404525956097939e-02,7.213669413904956126e-03
1.783178839955308676e+09,4.864812692118601406e-04,3.169265033164064826e-02,7.884660948712802694e-03
1.783178839987397194e+09,2.379639206994890645e-03,3.998556242557707585e-02,1.704400383042938005e-02
1.783178840019691467e+09,4.444830050479262572e-03,5.052033454997736928e-02,1.064060137025660269e-02
1.783178840055404902e+09,4.444830014636227435e-03,5.052033451867578295e-02,2.314060137025661379e-02
1.783178840087426901e+09,3.159056836671400494e-03,4.111670658702117759e-02,1.500619487329376070e-02
1.783178840119481325e+09,5.372900680261132045e-03,5.257094186154014775e-02,1.949500203245810651e-02
1.783178840156062365e+09,5.384239870479181657e-03,5.317996164103041407e-02,3.198015186459688547e-02
1.783178840187477589e+09,5.156166936785607641e-03,5.740476253398964224e-02,2.021796498664908681e-02
1.783178840219732046e+09,4.256752493299448964e-03,5.263853593837762579e-02,3.173856122547843994e-02
1.783178840255538225e+09,5.225015239465483421e-03,4.933945040286856487e-02,1.972072024284840519e-02
1.783178840287597656e+09,6.691404564011856071e-03,5.721893281366789014e-02,2.931308487763793075e-02
1.783178840319564342e+09,5.303319531300631877e-03,6.684131185056899072e-02,3.717012258991660850e-02
1.783178840355333090e+09,5.786982066315117870e-03,7.409462934468379058e-02,4.733896991307923879e-02
1.783178840487586498e+09,7.839689035237084463e-03,8.453964545987413537e-02,5.389168175270359767e-02
1.783178840719827652e+09,5.548773399753252969e-03,9.437853323071035416e-02,6.125361037121011820e-02
1.783178840755611181e+09,4.142276108739365026e-03,8.662925862205574090e-02,7.096033527768765004e-02
1.783178840856166840e+09,4.141748467450767114e-03,8.654593969473882431e-02,8.346005758172087008e-02
1.783178840955580235e+09,2.785471943541478757e-03,9.392347103561775323e-02,9.345918480888633362e-02
1.783178841119629622e+09,4.968746939262460791e-03,8.191774462564568871e-02,9.616950649864175471e-02
1.783178841319972754e+09,6.309807789355395893e-03,9.126645979166378431e-02,1.043581010386718938e-01
1.783178841355565071e+09,6.209416049004133804e-03,8.644752369407254777e-02,9.282476776568435173e-02
1.783178841419649839e+09,3.469579322255202537e-03,7.480149510382611000e-02,9.644599860421425308e-02
1.783178841555687666e+09,2.612330643786187935e-03,8.166302845481983319e-02,8.603281058245723645e-02
1.783178841787839890e+09,1.399204849274960499e-02,8.030352833548815017e-02,9.102317941687422531e-02
1.783178841820481062e+09,1.944408981213346585e-03,8.317010087071274871e-02,8.932401959497225652e-02
1.783178841920181751e+09,1.169169608376303439e-02,9.007127427657560248e-02,8.563427708868816268e-02
1.783178842019703150e+09,2.290245801701488310e-02,8.997033194552274404e-02,8.010629124194863782e-02
1.783178842255589008e+09,2.429764513452842625e-02,8.872842714443605894e-02,6.774663407145389837e-02
1.783178842288671970e+09,2.681220628976523426e-02,8.804830781978760512e-02,5.552106987585074538e-02
1.783178842387980223e+09,2.835070600095795923e-02,1.003994670965954600e-01,5.436699745282737306e-02
