timestamp,pixel_x,pixel_y,world_x_m,world_y_m,elapsed_time
1783179857.4307077,1294,301,1.0295070573190936,-0.6886661818437935,0.0
1783179857.7294145,1294,301,1.02947971255479,-0.6886816065956383,0.2987067699432373
1783179857.8394132,1294,301,1.02947971255479,-0.6886816065956383,0.408705472946167
1783179857.936576,1294,301,1.02947971255479,-0.6886816065956383,0.5058681964874268
1783179858.0247517,1294,301,1.02947971255479,-0.6886816065956383,0.5940439701080322
1783179858.1131988,1294,301,1.02947971255479,-0.6886816065956383,0.6824910640716553
1783179858.1924329,1294,301,1.02947971255479,-0.6886816065956383,0.7617251873016357
1783179858.272258,1294,301,1.02947971255479,-0.6886816065956383,0.841550350189209
1783179858.3522232,1294,301,1.02947971255479,-0.6886816065956383,0.9215154647827148
1783179858.4166732,1294,301,1.02947971255479,-0.6886816065956383,0.9859654903411865
1783179858.4918008,1294,301,1.02947971255479,-0.6886816065956383,1.0610930919647217
1783179858.5649002,1294,301,1.02947971255479,-0.6886816065956383,1.1341924667358398
1783179858.640735,1294,301,1.02947971255479,-0.6886816065956383,1.2100272178649902
1783179858.7181776,1294,301,1.02947971255479,-0.6886816065956383,1.2874698638916016
1783179858.79015,1294,301,1.02947971255479,-0.6886816065956383,1.3594422340393066
1783179858.8642511,1294,301,1.02947971255479,-0.6886816065956383,1.4335434436798096
1783179858.9382098,1294,301,1.02947971255479,-0.6886816065956383,1.5075020790100098
1783179859.0207973,1294,301,1.02947971255479,-0.6886816065956383,1.5900895595550537
1783179859.098794,1294,301,1.02947971255479,-0.6886816065956383,1.668086290359497
1783179859.1804883,1294,301,1.02947971255479,-0.6886816065956383,1.7497806549072266
1783179859.2686257,1294,301,1.02947971255479,-0.6886816065956383,1.8379180431365967
1783179859.3491755,1294,301,1.02947971255479,-0.6886816065956383,1.9184677600860596
1783179859.426498,1294,301,1.02947971255479,-0.6886816065956383,1.9957902431488037
1783179859.5090506,1294,301,1.02947971255479,-0.6886816065956383,2.078342914581299
1783179859.5841231,1294,301,1.02947971255479,-0.6886816065956383,2.1534154415130615
1783179859.6740613,1294,301,1.02947971255479,-0.6886816065956383,2.2433536052703857
1783179859.7544177,1294,301,1.02947971255479,-0.6886816065956383,2.3237099647521973
1783179859.837628,1294,301,1.02947971255479,-0.6886816065956383,2.4069201946258545
1783179859.9144044,1294,301,1.02947971255479,-0.6886816065956383,2.483696699142456
1783179859.9944582,1294,301,1.02947971255479,-0.6886816065956383,2.5637505054473877
1783179860.0650012,1294,301,1.02947971255479,-0.6886816065956383,2.634293556213379
1783179860.1402838,1294,301,1.02947971255479,-0.6886816065956383,2.70957612991333
1783179860.2250953,1294,301,1.02947971255479,-0.6886816065956383,2.7943875789642334
1783179860.3027148,1294,301,1.02947971255479,-0.6886816065956383,2.872007131576538
1783179860.3707008,1293,301,1.0279893871302213,-0.688525327164776,2.939993143081665
1783179860.4489179,1293,301,1.0279893871302213,-0.688525327164776,3.0182101726531982
1783179860.5297453,1293,301,1.0279893871302213,-0.688525327164776,3.0990376472473145
1783179860.6281703,1293,301,1.0279893871302213,-0.688525327164776,3.197462558746338
1783179860.7175426,1293,301,1.0279893871302213,-0.688525327164776,3.286834955215454
1783179860.8015773,1293,301,1.0279893871302213,-0.688525327164776,3.3708696365356445
1783179860.874909,1293,301,1.0279893871302213,-0.688525327164776,3.4442012310028076
1783179860.9554298,1293,301,1.0279893871302213,-0.688525327164776,3.524722099304199
1783179861.034474,1293,301,1.027775377217275,-0.6885385068930182,3.6037662029266357
1783179861.1046128,1293,301,1.027775377217275,-0.6885385068930182,3.67390513420105
1783179861.1777735,1293,301,1.027775377217275,-0.6885385068930182,3.747065782546997
1783179861.2522345,1293,301,1.027775377217275,-0.6885385068930182,3.8215267658233643
1783179861.3189204,1293,301,1.027775377217275,-0.6885385068930182,3.8882126808166504
1783179861.3878634,1293,301,1.027775377217275,-0.6885385068930182,3.957155704498291
1783179861.464758,1293,301,1.027775377217275,-0.6885385068930182,4.034050226211548
1783179861.5285423,1293,301,1.027775377217275,-0.6885385068930182,4.097834587097168
1783179861.6047301,1293,301,1.027775377217275,-0.6885385068930182,4.174022436141968
1783179861.6741521,1293,301,1.027775377217275,-0.6885385068930182,4.243444442749023
1783179861.7826376,1293,301,1.027775377217275,-0.6885385068930182,4.3519299030303955
1783179861.860331,1293,301,1.027775377217275,-0.6885385068930182,4.429623365402222
1783179861.9325886,1293,301,1.027775377217275,-0.6885385068930182,4.501880884170532
1783179862.0130823,1293,301,1.027775377217275,-0.6885385068930182,4.582374572753906
1783179862.0884163,1293,301,1.027775377217275,-0.6885385068930182,4.657708644866943
1783179862.1648679,1293,301,1.027775377217275,-0.6885385068930182,4.7341601848602295
1783179862.2389996,1293,301,1.027775377217275,-0.6885385068930182,4.808291912078857
1783179862.3120663,1293,301,1.027775377217275,-0.6885385068930182,4.881358623504639
1783179862.3842506,1293,301,1.027775377217275,-0.6885385068930182,4.953542947769165
1783179862.4603338,1293,301,1.027775377217275,-0.6885385068930182,5.029626131057739
