x,y,z
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0003846848147252808,0.0,0.0
0.008847732442342349,1.759789513976563e-05,0.0
0.017695483181023805,1.7597895139765626e-05,0.0
0.02500449466080414,1.7597895139765623e-05,0.0
0.033275218177397675,1.759789513976562e-05,0.0
0.04077656801023714,2.539696651919269e-05,0.0
0.04847026430474275,2.5396966519192702e-05,0.0
0.05693331193235982,4.299486165895834e-05,0.0
0.06501167557690339,2.6196870843727545e-05,0.0
0.07270535523837346,4.219495733442359e-05,0.0
0.08059137689138027,5.8592995987387044e-05,0.0
0.08886209593784429,6.719197212367844e-05,0.0
0.09732514356546136,4.959407698391287e-05,0.0
0.10482649745260433,4.9594076983912924e-05,0.0
0.11252018958884993,5.759312455255611e-05,0.0
0.12021388172509553,6.55921721211993e-05,0.0
0.12944631228859027,7.519102920357113e-05,0.0
0.13675531981802358,8.279012439378215e-05,0.0
0.14444901195426918,9.078917196242534e-05,0.0
0.15252738869732707,8.239017201535013e-05,0.0
0.16060576544038496,9.078917196242549e-05,0.0
0.16906879019759669,6.439235303089e-05,0.0
0.17637779772703,7.199144822110103e-05,0.0
0.18426383216668174,6.379242446324187e-05,0.0
0.19253455568327527,6.379242446324191e-05,0.0
0.20061289749697736,3.8595460937685284e-05,0.0
0.20869127424003525,3.0196460990610048e-05,0.0
0.21638496637628085,2.2197413421966967e-05,0.0
0.22369397390571416,2.9796508612177976e-05,0.0
0.23215703525558432,2.0997556286670566e-05,0.0
0.24062006001279604,-5.399262644864967e-06,0.0
0.24831375214904164,-1.3398310213508067e-05,0.0
0.25600744428528727,-5.399262644864918e-06,0.0
0.2642781633317513,-1.3998238781156249e-05,0.0
0.27254881532636926,-4.839405037553687e-05,0.0
0.280434849766021,-5.659307413339604e-05,0.0
0.28793620365316397,-5.659307413339602e-05,0.0
0.2954375534860034,-6.439214551282305e-05,0.0
0.3044776466320475,-6.439214551282303e-05,0.0
0.3125559884457496,-8.958910903837967e-05,0.0
0.32005733827858907,-8.179003765895259e-05,0.0
0.3269816499739121,-9.618831550057899e-05,0.0
0.3364064075592129,-0.00011578597145168158,0.0
0.3439077249576506,-0.0001391831518682699,0.0
0.35160140461912065,-0.00015518123835896592,0.0
0.3594874262721275,-0.00017157927701192934,0.0
0.3677581453185915,-0.0001801782531482207,0.0
0.37641347880133125,-0.00021617386993303767,0.0
0.3839148286341707,-0.0002239729413124647,0.0
0.39141618252131366,-0.0002239729413124647,0.0
0.4006474953671711,-0.0003679499871088038,0.0
0.40813065684239347,-0.0008900653727304222,0.0
0.4163433545275351,-0.0018680552604094266,0.0
0.4225997252281734,-0.0029385859114817873,0.0
0.43131602995555784,-0.004458034835669148,0.0
0.43852161337464307,-0.005683276200529381,0.0
0.44648567925889515,-0.00703749034063806,0.0
0.4544497451431473,-0.008391704480746739,0.0
0.4626005310502641,-0.009795113396308817,0.0
0.47037634655431326,-0.01110900062676368,0.0
0.47815352388916427,-0.01241480272112719,0.0
0.4855500313198452,-0.013664597891559865,0.0
0.49313485597151385,-0.01495432564404432,0.0
0.5028055074023914,-0.016598728528462,0.0
0.5109237118050451,-0.018179748694262213,0.0
0.5176475804249393,-0.019833801458473594,0.0
0.5258353465821789,-0.021974822286861147,0.0
0.5327352501218802,-0.02371789710714989,0.0
0.5403750274736773,-0.02567325089159214,0.0
0.5478304481385791,-0.027573162832037094,0.0
0.556031410869971,-0.02966306596652654,0.0
0.5653356905941069,-0.03209604418060331,0.0
0.5723104586953973,-0.03428105190250776,0.0
0.5805860329111984,-0.036816986598163834,0.0
0.5875720653581866,-0.03896570702232055,0.0
0.5949351264213842,-0.041196916212807404,0.0
0.6032133327465767,-0.04372424551849856,0.0
0.6114941622328132,-0.046242966702301935,0.0
0.6185968106905476,-0.04865599281612627,0.0
0.6251029107635325,-0.05102600581286254,0.0
0.6332718630889635,-0.053886829345815804,0.0
0.6410576491143778,-0.05667724212072868,0.0
0.6481270354681566,-0.059186043970448986,0.0
0.6566370806587257,-0.0622360300267491,0.0
0.6639831341100905,-0.06510397442946261,0.0
0.6709155936276336,-0.06796951367675631,0.0
0.6782375390971367,-0.07089845904138638,0.0
0.6857223700048773,-0.0739377924598368,0.0
0.6932008648145326,-0.07699268308438267,0.0
0.7006919994573815,-0.08001644615524131,0.0
0.7090749358434266,-0.08340018102024978,0.0
0.716681784595089,-0.08664682845372097,0.0
0.723224304551333,-0.08944725901141304,0.0
0.7301296475504709,-0.0923775402614659,0.0
0.7379168495565916,-0.09569159665040938,0.0
0.7446301993198146,-0.0985816803461171,0.0
0.7527568858752949,-0.10208020271460538,0.0
0.7590037942211809,-0.10506724738827392,0.0
0.7672074984638091,-0.10886494679563073,0.0
0.773824229349426,-0.11196986566717704,0.0
0.7813261295520983,-0.11545215813580699,0.0
0.7893475407111047,-0.11918574302864204,0.0
0.7960250886715431,-0.1226034415782803,0.0
0.8026703646845289,-0.12608347273494974,0.0
0.8096828647003258,-0.12969102729944534,0.0
0.8171963623534599,-0.13358600327492667,0.0
0.8245390986962955,-0.13739245706914707,0.0
0.8333946377269553,-0.14204170812628425,0.0
0.8401853329405942,-0.14605120496788743,0.0
0.8458539072476308,-0.14968257900142123,0.0
0.8526966734125334,-0.15397638763228064,0.0
0.858716945993198,-0.15777155518336514,0.0
0.8660436941107951,-0.16237968445706744,0.0
0.8741470465981277,-0.16755893948469253,0.0
0.8794668813390204,-0.17136239500042755,0.0
0.8859292653905466,-0.1762098514176178,0.0
0.8928747877030504,-0.18137471474479075,0.0
0.8987444268028227,-0.18573005464541664,0.0
0.9061472520930657,-0.1912469418084777,0.0
0.912407824253369,-0.19635237788893295,0.0
0.9176065171507313,-0.20092620472466985,0.0
0.9237377600862507,-0.2061862523871555,0.0
0.9295561550669824,-0.2112200623279743,0.0
0.9366836889183787,-0.21738647950547735,0.0
0.9431641908740164,-0.2231240040400514,0.0
0.9481482823108789,-0.22793078386789722,0.0
0.9545040583038374,-0.234086009668887,0.0
0.9599143070479113,-0.23928211577513642,0.0
0.9657465435190076,-0.2448718616630272,0.0
0.9718443156595337,-0.2507404781742206,0.0
