x,y,z
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.004039190554615448,0.0,0.0
0.013271581198846416,-2.8796529743493324e-05,0.0
0.02077293103168588,-2.0997458364066286e-05,0.0
0.028466610693155942,-4.9993718733702735e-06,0.0
0.03616029035462601,1.0998714617325739e-05,0.0
0.04423865399916957,2.779670543255655e-05,0.0
0.05308638560986014,9.398905968256114e-06,0.0
0.0603953812882567,2.4597088134417338e-05,0.0
0.06789671895819001,4.019522246284596e-05,0.0
0.07559041109443561,4.819427003148909e-05,0.0
0.08405347244430578,5.699322235699653e-05,0.0
0.09251653379417595,4.819427003148908e-05,0.0
0.10001785119261361,7.159145044807738e-05,0.0
0.10771153085408368,8.758953693877337e-05,0.0
0.11617457848170075,0.00010518743207853896,0.0
0.12444528411778107,8.798948910104073e-05,0.0
0.13213897625402668,9.598853666968385e-05,0.0
0.13983266839027228,0.00010398758423832695,0.0
0.14752636052651788,0.00011198663180697006,0.0
0.15637410648320033,0.00012118553651090963,0.0
0.16406779861944593,0.00012918458407955275,0.0
0.17176149075569153,0.00013718363164819586,0.0
0.17945518289193713,0.00014518267921683896,0.0
0.18830292884861957,0.00015438158392077855,0.0
0.19599662098486517,0.00016238063148942165,0.0
0.20369031312111077,0.00017037967905806476,0.0
0.21138400525735637,0.00017837872662670786,0.0
0.22003940891063267,0.00018737765514143136,0.0
0.228310114546713,0.00017017971216393312,0.0
0.23581146437955244,0.00017797878354336015,0.0
0.24331281826669543,0.00017797878354336013,0.0
0.25196822191997176,0.00018697771205808362,0.0
0.26004653317052884,0.00015338180305892108,0.0
0.2679325548235357,0.00016977984171188447,0.0
0.27543390465637513,0.0001775789130913115,0.0
0.28331992630938196,0.00019397695174427492,0.0
0.291590645355846,0.00020257592788056628,0.0
0.29966900900038956,0.00018577793706533546,0.0
0.30755504770225783,0.0001857779370653355,0.0
0.3154410821419096,0.0001939769608231947,0.0
0.32294243602905254,0.00019397696082319472,0.0
0.3319825242891411,0.00020337584171635042,0.0
0.33967620395061116,0.00021937392820704646,0.0
0.34736990024511677,0.0002193739282070465,0.0
0.35487125413225973,0.00021937392820704652,0.0
0.36410368469575444,0.0002289727852894183,0.0
0.37179737683200004,0.00023697183285806145,0.0
0.37949106896824564,0.0002449708804267046,0.0
0.38718476110449124,0.00025296992799534774,0.0
0.39526313784754913,0.00026136892794242304,0.0
0.40372616260476085,0.00023497210901088752,0.0
0.4112275124376003,0.00024277118039031458,0.0
0.4189212087321059,0.00024277118039031458,0.0
0.42661490502661154,0.00024277118039031458,0.0
0.43488562854320506,0.00024277118039031458,0.0
0.4433486533004168,0.00021637436145877903,0.0
0.45123468774006853,0.00022457338521663823,0.0
0.45892838403457414,0.00022457338521663823,0.0
0.46719910755116767,0.00022457338521663823,0.0
0.47489276642136014,0.00020057627709706046,0.0
0.483163449706817,0.00017477938586851435,0.0
0.49085714600132263,0.00017477938586851435,0.0
0.4987431847031909,0.00017477938586851435,0.0
0.5068215614462488,0.00018317838581558961,0.0
0.5145152203164413,0.00015918127769601182,0.0
0.5254780205558794,0.00028456363764559425,0.0
0.5335350168569385,0.0008719748655765554,0.0
0.5406101238833628,0.0016399847945144093,0.0
0.5480749174148587,0.002379692623520176,0.0
0.5559200571866056,0.0031818075586248435,0.0
0.5641504705674857,0.003997382857272227,0.0
0.5723817274442827,0.004804400648968832,0.0
0.5802276969255927,0.005598358648938935,0.0
0.5888400281923947,0.006460822290334312,0.0
0.5983811475111398,0.007667489734416861,0.0
0.6055776230947708,0.008945139133024707,0.0
0.612412232189908,0.010056182913017488,0.0
0.6201907629488017,0.011353898459779646,0.0
0.6275911325881642,0.012580617392932989,0.0
0.6361285443967061,0.01400493933450121,0.0
0.6457922735509801,0.015689545750448067,0.0
0.6527252614898282,0.017295988070014357,0.0
0.6594659633935162,0.018880045395369218,0.0
0.6679000025181192,0.0208250588725793,0.0
0.6755861875791955,0.02258919197817267,0.0
0.6842034968667029,0.024595350939291674,0.0
0.6926252387171313,0.026592938881437402,0.0
0.7007691162384168,0.028895273294925024,0.0
0.7070157656536479,0.030830805938353537,0.0
0.7154938835313712,0.0333614600801252,0.0
0.722120638488249,0.03536954835156337,0.0
0.7293041310390949,0.0375300448019417,0.0
0.7381425832545073,0.04019830803552257,0.0
0.7478513493611189,0.0433064434537916,0.0
0.7543145461170393,0.04579107369965352,0.0
0.7605982096297398,0.04820668643868593,0.0
0.7683212204542157,0.051166411306466916,0.0
0.7764002163991163,0.05427219911379431,0.0
0.7839375947572063,0.05717877249717468,0.0
0.790942185970103,0.059863174121441154,0.0
0.7984825821853435,0.06276190940828005,0.0
0.8072222392686672,0.06628963299094846,0.0
0.8133284371080517,0.06912405709332169,0.0
0.8205189162617329,0.07236236157990715,0.0
0.8273489993009571,0.07546401852700126,0.0
0.8341823034057461,0.0785585726389258,0.0
0.842588559454022,0.08237599657381085,0.0
0.8490744865823154,0.08530511384233637,0.0
0.857309494093215,0.0890344482849121,0.0
0.8648391249757279,0.09289814387415521,0.0
0.8712494224206366,0.0964095161812962,0.0
0.8783980651092274,0.10017211489187347,0.0
0.8848373463559368,0.10363004864446862,0.0
0.8919623785171108,0.10743716803427182,0.0
0.8992570543011699,0.11133493312383223,0.0
0.9063939264418153,0.11511981058473611,0.0
0.9126742240978883,0.11846717373166671,0.0
0.9211658112285566,0.12298181127829322,0.0
0.9287705719739181,0.12750401285934274,0.0
0.9340803616691677,0.13061682983153342,0.0
0.9417224723846624,0.13507562304786,0.0
0.9481858759621369,0.1388828168089977,0.0
0.9549765711757757,0.14289231365060087,0.0
0.9619371596438251,0.14699236847028763,0.0
0.9701412359122951,0.15201054909241235,0.0
0.9762039055255731,0.15609291188518276,0.0
0.9827996500658246,0.16041561478581182,0.0
0.9892213375610631,0.1646529361549774,0.0
0.995973346386872,0.16908809321670334,0.0
1.0035291657871819,0.17405124516673,0.0
1.0112016813005944,0.17952472169506628,0.0
1.016937354777729,0.1840550305780515,0.0
1.0225494976017189,0.1884311968922407,0.0
1.0295097526228107,0.193893572124244,0.0
1.035287565381647,0.19837001362787052,0.0
1.0415114647130739,0.20321281070390274,0.0
1.0500724168063904,0.21006181129391227,0.0
1.0559056820409434,0.2153686581082381,0.0
